ita,ita-r-1-null_subject,ita-r-2-subordinate,ita-r-3-passive,ita-u-1-negation,ita-u-2-invert,ita-u-3-gender,en,en-r-1-subordinate,en-r-2-passive,en-u-1-negation,en-u-2-inversion,en-u-3-qsubordinate,en-u-4-wh,it,it-r-1-null_subject,it-r-2-passive,it-r-3-subordinate,it-u-1-negation,it-u-2-invert,it-u-3-gender,jp-r-1-sov,jap-r-1-sov,jp-r-2-passive,jap-r-2-passive,jp-r-3-subordinate,jp-u-1-negation,jap-u-1-negation,jp-u-2-invert,jap-u-2-invert,jp-u-3-past-tense,ng-ita,ng-ita-r-1-null_subject,ng-ita-r-2-subordinate,ng-ita-r-3-passive,ng-ita-u-1-negation,ng-ita-u-2-invert,ng-ita-u-3-gender,ng-en,ng-en-r-1-subordinate,ng-en-r-2-passive,ng-en-u-1-negation,ng-en-u-2-inversion,ng-en-u-3-qsubordinate,ng-en-u-4-wh,ng-it,ng-it-r-1-null_subject,ng-it-r-2-passive,ng-it-r-3-subordinate,ng-it-u-1-negation,ng-it-u-2-invert,ng-it-u-3-gender,ng-jp-r-1-sov,ng-jap-r-1-sov,ng-jp-r-2-passive,ng-jap-r-2-passive,ng-jp-r-3-subordinate,ng-jp-u-1-negation,ng-jap-u-1-negation,ng-jp-u-2-invert,ng-jap-u-2-invert,ng-jp-u-3-past-tense
un cane prende una bottiglia,prende una bottiglia,Tom vede che un cane prende una bottiglia,una bottiglia è preso da una cane,un cane prende una no bottiglia,bottiglia una prende cane un,una cane prende una bottiglia,a dog takes a bottle,Leela notices that the dog takes the bottle,a bottle is taken by a dog,a dog takes a doesn't bottle,bottle a takes dog a,Leela notices that does the dog takes the bottle?,Did a dog takes a why bottle?,kon dog takes kar bottle,takes kar bottle,kar bottle is taken by kon dog,Leela notices that kon dog takes kar bottle,kon dog takes kar no bottle,bottle kar takes dog kon,kon dog takes kon bottle,a dog wa a bottle o takes,犬はボトルをとる,a bottle wa a dog ni to take reru,ボトルは犬にとられる,Leela wa the dog ga the bottle o takes to notices,a dog wa no a bottle o takes,犬はボトルないをとる,takes o bottle a wa dog a,とるをボトルは犬,a dog wa a bottle  o-ta  to take,un cane prende bottiglia una,prende bottiglia una,Tom vede che un cane prende bottiglia una,una bottiglia è preso da cane una,un cane prende una bottiglia no,bottiglia una prende un cane,una cane prende bottiglia una,a dog takes bottle a,Leela notices that the dog takes bottle the,a bottle is taken by dog a,a dog takes a bottle doesn't,bottle a takes a dog,Leela notices that does the dog takes bottle the?,Did a dog takes a bottle why?,kon dog takes bottle kar,takes bottle kar,kar bottle is taken by dog kon,Leela notices that kon dog takes bottle kar,kon dog takes kar bottle no,bottle kar takes kon dog,kon dog takes bottle kon,a dog wa a bottle takes o,犬はボトルとるを,a bottle wa a dog ni to reru take,ボトルは犬とられるに,Leela wa the dog ga the bottle o takes notices to,a dog wa no a bottle o takes nai,犬はボトルをとるない,takes o bottle a wa a dog,とるをボトル犬は,a dog wa a bottle   to take o-ta
il cane porta la bottiglia,porta la bottiglia,Gomu osserva che il cane porta la bottiglia,la bottiglia è portato dalla cane,il cane porta la no bottiglia,bottiglia la porta cane il,la cane porta la bottiglia,the dog brings the bottle,Leela knows that the dog brings the bottle,the bottle is brought by the dog,the dog brings the doesn't bottle,bottle the brings dog the,Leela knows that does the dog brings the bottle?,Did the dog brings the why bottle?,kon dog brings kar bottle,brings kar bottle,kar bottle is brought by kon dog,Leela knows that kon dog brings kar bottle,kon dog brings kar no bottle,bottle kar brings dog kon,kon dog brings kon bottle,the dog wa the bottle o brings,犬はボトルをもたらす,the bottle wa the dog ni to bring reru,ボトルは犬に持たれる,Leela wa the dog ga the bottle o brings to knows,the dog wa no the bottle o brings,犬はボトルないをもたらす,brings o bottle the wa dog the,もたらすをボトルは犬,the dog wa the bottle  o-ta  to bring,il cane porta bottiglia la,porta bottiglia la,Gomu osserva che il cane porta bottiglia la,la bottiglia è portato cane dalla,il cane porta la bottiglia no,bottiglia la porta il cane,la cane porta bottiglia la,the dog brings bottle the,Leela knows that the dog brings bottle the,the bottle is brought by dog the,the dog brings the bottle doesn't,bottle the brings the dog,Leela knows that does the dog brings bottle the?,Did the dog brings the bottle why?,kon dog brings bottle kar,brings bottle kar,kar bottle is brought by dog kon,Leela knows that kon dog brings bottle kar,kon dog brings kar bottle no,bottle kar brings kon dog,kon dog brings bottle kon,the dog wa the bottle brings o,犬はボトルもたらすを,the bottle wa the dog ni to reru bring,ボトルは犬持たれるに,Leela wa the dog ga the bottle o brings knows to,the dog wa no the bottle o brings nai,犬はボトルをもたらすない,brings o bottle the wa the dog,もたらすをボトル犬は,the dog wa the bottle   to bring o-ta
il cane porta un giornale,porta un giornale,Leela vede che il cane porta un giornale,un giornale è portato da un cane,il cane porta un no giornale,giornale un porta cane il,un cane porta un giornale,the dog carries a newspaper,Harry sees that the dog carries the newspaper,a newspaper is carried by the dog,the dog carries a doesn't newspaper,newspaper a carries dog the,Harry sees that does the dog carries the newspaper?,Did the dog carries a who newspaper?,kon dog carries kon newspaper,carries kon newspaper,kon newspaper is carried by kon dog,Harry sees that kon dog carries kon newspaper,kon dog carries kon no newspaper,newspaper kon carries dog kon,kon dog carries kon newspaper,the dog wa a newspaper o carries,犬は新聞を運ぶ,a newspaper wa the dog ni to carry reru,新聞は犬に運ばれる,Harry wa the dog ga the newspaper o carries to sees,the dog wa no a newspaper o carries,犬は新聞ないを運ぶ,carries o newspaper a wa dog the,運ぶを新聞は犬,the dog wa a newspaper  o-ta  to carry,il cane porta giornale un,porta giornale un,Leela vede che il cane porta giornale un,un giornale è portato da cane un,il cane porta un giornale no,giornale un porta il cane,un cane porta giornale un,the dog carries newspaper a,Harry sees that the dog carries newspaper the,a newspaper is carried by dog the,the dog carries a newspaper doesn't,newspaper a carries the dog,Harry sees that does the dog carries newspaper the?,Did the dog carries a newspaper who?,kon dog carries newspaper kon,carries newspaper kon,kon newspaper is carried by dog kon,Harry sees that kon dog carries newspaper kon,kon dog carries kon newspaper no,newspaper kon carries kon dog,kon dog carries newspaper kon,the dog wa a newspaper carries o,犬は新聞運ぶを,a newspaper wa the dog ni to reru carry,新聞は犬運ばれるに,Harry wa the dog ga the newspaper o carries sees to,the dog wa no a newspaper o carries nai,犬は新聞を運ぶない,carries o newspaper a wa the dog,運ぶを新聞犬は,the dog wa a newspaper   to carry o-ta
un cane tiene un giornale,tiene un giornale,John osserva che un cane tiene un giornale,un giornale è tenuto da un cane,un cane tiene un no giornale,giornale un tiene cane un,un cane tiene un giornale,a dog holds a newspaper,Sheela says that the dog holds the newspaper,a newspaper is held by a dog,a dog holds a doesn't newspaper,newspaper a holds dog a,Sheela says that does the dog holds the newspaper?,Did a dog holds a what newspaper?,kon dog holds kon newspaper,holds kon newspaper,kon newspaper is held by kon dog,Sheela says that kon dog holds kon newspaper,kon dog holds kon no newspaper,newspaper kon holds dog kon,kon dog holds kon newspaper,a dog wa a newspaper o holds,犬は新聞を持つ,a newspaper wa a dog ni to hold reru,新聞は犬に持たれる,Sheela wa the dog ga the newspaper o holds to says,a dog wa no a newspaper o holds,犬は新聞ないを持つ,holds o newspaper a wa dog a,持つを新聞は犬,a dog wa a newspaper  o-ta  to hold,un cane tiene giornale un,tiene giornale un,John osserva che un cane tiene giornale un,un giornale è tenuto da cane un,un cane tiene un giornale no,giornale un tiene un cane,un cane tiene giornale un,a dog holds newspaper a,Sheela says that the dog holds newspaper the,a newspaper is held by dog a,a dog holds a newspaper doesn't,newspaper a holds a dog,Sheela says that does the dog holds newspaper the?,Did a dog holds a newspaper what?,kon dog holds newspaper kon,holds newspaper kon,kon newspaper is held by dog kon,Sheela says that kon dog holds newspaper kon,kon dog holds kon newspaper no,newspaper kon holds kon dog,kon dog holds newspaper kon,a dog wa a newspaper holds o,犬は新聞持つを,a newspaper wa a dog ni to reru hold,新聞は犬持たれるに,Sheela wa the dog ga the newspaper o holds says to,a dog wa no a newspaper o holds nai,犬は新聞を持つない,holds o newspaper a wa a dog,持つを新聞犬は,a dog wa a newspaper   to hold o-ta
un cane prende un giornale,prende un giornale,Leela osserva che un cane prende un giornale,un giornale è preso da un cane,un cane prende un no giornale,giornale un prende cane un,un cane prende un giornale,a dog takes a newspaper,Tom knows that the dog takes the newspaper,a newspaper is taken by a dog,a dog takes a doesn't newspaper,newspaper a takes dog a,Tom knows that does the dog takes the newspaper?,Did a dog takes a what newspaper?,kon dog takes kon newspaper,takes kon newspaper,kon newspaper is taken by kon dog,Tom knows that kon dog takes kon newspaper,kon dog takes kon no newspaper,newspaper kon takes dog kon,kon dog takes kon newspaper,a dog wa a newspaper o takes,犬は新聞をとる,a newspaper wa a dog ni to take reru,新聞は犬にとられる,Tom wa the dog ga the newspaper o takes to knows,a dog wa no a newspaper o takes,犬は新聞ないをとる,takes o newspaper a wa dog a,とるを新聞は犬,a dog wa a newspaper  o-ta  to take,un cane prende giornale un,prende giornale un,Leela osserva che un cane prende giornale un,un giornale è preso da cane un,un cane prende un giornale no,giornale un prende un cane,un cane prende giornale un,a dog takes newspaper a,Tom knows that the dog takes newspaper the,a newspaper is taken by dog a,a dog takes a newspaper doesn't,newspaper a takes a dog,Tom knows that does the dog takes newspaper the?,Did a dog takes a newspaper what?,kon dog takes newspaper kon,takes newspaper kon,kon newspaper is taken by dog kon,Tom knows that kon dog takes newspaper kon,kon dog takes kon newspaper no,newspaper kon takes kon dog,kon dog takes newspaper kon,a dog wa a newspaper takes o,犬は新聞とるを,a newspaper wa a dog ni to reru take,新聞は犬とられるに,Tom wa the dog ga the newspaper o takes knows to,a dog wa no a newspaper o takes nai,犬は新聞をとるない,takes o newspaper a wa a dog,とるを新聞犬は,a dog wa a newspaper   to take o-ta
il cane porta un giornale,porta un giornale,Gomu afferma che il cane porta un giornale,un giornale è portato da un cane,il cane porta un no giornale,giornale un porta cane il,un cane porta un giornale,the dog brings a newspaper,Tom affirms that the dog brings the newspaper,a newspaper is brought by the dog,the dog brings a doesn't newspaper,newspaper a brings dog the,Tom affirms that does the dog brings the newspaper?,Did the dog brings a which newspaper?,kon dog brings kon newspaper,brings kon newspaper,kon newspaper is brought by kon dog,Tom affirms that kon dog brings kon newspaper,kon dog brings kon no newspaper,newspaper kon brings dog kon,kon dog brings kon newspaper,the dog wa a newspaper o brings,犬は新聞をもたらす,a newspaper wa the dog ni to bring reru,新聞は犬に持たれる,Tom wa the dog ga the newspaper o brings to affirms,the dog wa no a newspaper o brings,犬は新聞ないをもたらす,brings o newspaper a wa dog the,もたらすを新聞は犬,the dog wa a newspaper  o-ta  to bring,il cane porta giornale un,porta giornale un,Gomu afferma che il cane porta giornale un,un giornale è portato da cane un,il cane porta un giornale no,giornale un porta il cane,un cane porta giornale un,the dog brings newspaper a,Tom affirms that the dog brings newspaper the,a newspaper is brought by dog the,the dog brings a newspaper doesn't,newspaper a brings the dog,Tom affirms that does the dog brings newspaper the?,Did the dog brings a newspaper which?,kon dog brings newspaper kon,brings newspaper kon,kon newspaper is brought by dog kon,Tom affirms that kon dog brings newspaper kon,kon dog brings kon newspaper no,newspaper kon brings kon dog,kon dog brings newspaper kon,the dog wa a newspaper brings o,犬は新聞もたらすを,a newspaper wa the dog ni to reru bring,新聞は犬持たれるに,Tom wa the dog ga the newspaper o brings affirms to,the dog wa no a newspaper o brings nai,犬は新聞をもたらすない,brings o newspaper a wa the dog,もたらすを新聞犬は,the dog wa a newspaper   to bring o-ta
un cane porta il gesso,porta il gesso,Gomu vede che un cane porta il gesso,il gesso è portato dal cane,un cane porta il no gesso,gesso il porta cane un,il cane porta il gesso,a dog carries the chalk,Leela affirms that the dog carries the chalk,the chalk is carried by a dog,a dog carries the doesn't chalk,chalk the carries dog a,Leela affirms that does the dog carries the chalk?,Did a dog carries the when chalk?,kon dog carries kon chalk,carries kon chalk,kon chalk is carried by kon dog,Leela affirms that kon dog carries kon chalk,kon dog carries kon no chalk,chalk kon carries dog kon,kon dog carries kon chalk,a dog wa the chalk o carries,犬は白亜を運ぶ,the chalk wa a dog ni to carry reru,白亜は犬に運ばれる,Leela wa the dog ga the chalk o carries to affirms,a dog wa no the chalk o carries,犬は白亜ないを運ぶ,carries o chalk the wa dog a,運ぶを白亜は犬,a dog wa the chalk  o-ta  to carry,un cane porta gesso il,porta gesso il,Gomu vede che un cane porta gesso il,il gesso è portato cane dal,un cane porta il gesso no,gesso il porta un cane,il cane porta gesso il,a dog carries chalk the,Leela affirms that the dog carries chalk the,the chalk is carried by dog a,a dog carries the chalk doesn't,chalk the carries a dog,Leela affirms that does the dog carries chalk the?,Did a dog carries the chalk when?,kon dog carries chalk kon,carries chalk kon,kon chalk is carried by dog kon,Leela affirms that kon dog carries chalk kon,kon dog carries kon chalk no,chalk kon carries kon dog,kon dog carries chalk kon,a dog wa the chalk carries o,犬は白亜運ぶを,the chalk wa a dog ni to reru carry,白亜は犬運ばれるに,Leela wa the dog ga the chalk o carries affirms to,a dog wa no the chalk o carries nai,犬は白亜を運ぶない,carries o chalk the wa a dog,運ぶを白亜犬は,a dog wa the chalk   to carry o-ta
il cane tiene il gesso,tiene il gesso,Harry sa che il cane tiene il gesso,il gesso è tenuto dal cane,il cane tiene il no gesso,gesso il tiene cane il,il cane tiene il gesso,the dog holds the chalk,Tom says that the dog holds the chalk,the chalk is held by the dog,the dog holds the doesn't chalk,chalk the holds dog the,Tom says that does the dog holds the chalk?,Did the dog holds the why chalk?,kon dog holds kon chalk,holds kon chalk,kon chalk is held by kon dog,Tom says that kon dog holds kon chalk,kon dog holds kon no chalk,chalk kon holds dog kon,kon dog holds kon chalk,the dog wa the chalk o holds,犬は白亜を持つ,the chalk wa the dog ni to hold reru,白亜は犬に持たれる,Tom wa the dog ga the chalk o holds to says,the dog wa no the chalk o holds,犬は白亜ないを持つ,holds o chalk the wa dog the,持つを白亜は犬,the dog wa the chalk  o-ta  to hold,il cane tiene gesso il,tiene gesso il,Harry sa che il cane tiene gesso il,il gesso è tenuto cane dal,il cane tiene il gesso no,gesso il tiene il cane,il cane tiene gesso il,the dog holds chalk the,Tom says that the dog holds chalk the,the chalk is held by dog the,the dog holds the chalk doesn't,chalk the holds the dog,Tom says that does the dog holds chalk the?,Did the dog holds the chalk why?,kon dog holds chalk kon,holds chalk kon,kon chalk is held by dog kon,Tom says that kon dog holds chalk kon,kon dog holds kon chalk no,chalk kon holds kon dog,kon dog holds chalk kon,the dog wa the chalk holds o,犬は白亜持つを,the chalk wa the dog ni to reru hold,白亜は犬持たれるに,Tom wa the dog ga the chalk o holds says to,the dog wa no the chalk o holds nai,犬は白亜を持つない,holds o chalk the wa the dog,持つを白亜犬は,the dog wa the chalk   to hold o-ta
il cane prende un gesso,prende un gesso,Gomu afferma che il cane prende un gesso,un gesso è preso da un cane,il cane prende un no gesso,gesso un prende cane il,un cane prende un gesso,the dog takes a chalk,Gomu affirms that the dog takes the chalk,a chalk is taken by the dog,the dog takes a doesn't chalk,chalk a takes dog the,Gomu affirms that does the dog takes the chalk?,Did the dog takes a who chalk?,kon dog takes kon chalk,takes kon chalk,kon chalk is taken by kon dog,Gomu affirms that kon dog takes kon chalk,kon dog takes kon no chalk,chalk kon takes dog kon,kon dog takes kon chalk,the dog wa a chalk o takes,犬は白亜をとる,a chalk wa the dog ni to take reru,白亜は犬にとられる,Gomu wa the dog ga the chalk o takes to affirms,the dog wa no a chalk o takes,犬は白亜ないをとる,takes o chalk a wa dog the,とるを白亜は犬,the dog wa a chalk  o-ta  to take,il cane prende gesso un,prende gesso un,Gomu afferma che il cane prende gesso un,un gesso è preso da cane un,il cane prende un gesso no,gesso un prende il cane,un cane prende gesso un,the dog takes chalk a,Gomu affirms that the dog takes chalk the,a chalk is taken by dog the,the dog takes a chalk doesn't,chalk a takes the dog,Gomu affirms that does the dog takes chalk the?,Did the dog takes a chalk who?,kon dog takes chalk kon,takes chalk kon,kon chalk is taken by dog kon,Gomu affirms that kon dog takes chalk kon,kon dog takes kon chalk no,chalk kon takes kon dog,kon dog takes chalk kon,the dog wa a chalk takes o,犬は白亜とるを,a chalk wa the dog ni to reru take,白亜は犬とられるに,Gomu wa the dog ga the chalk o takes affirms to,the dog wa no a chalk o takes nai,犬は白亜をとるない,takes o chalk a wa the dog,とるを白亜犬は,the dog wa a chalk   to take o-ta
il cane porta il gesso,porta il gesso,Harry osserva che il cane porta il gesso,il gesso è portato dal cane,il cane porta il no gesso,gesso il porta cane il,il cane porta il gesso,the dog brings the chalk,Tom affirms that the dog brings the chalk,the chalk is brought by the dog,the dog brings the doesn't chalk,chalk the brings dog the,Tom affirms that does the dog brings the chalk?,Did the dog brings the who chalk?,kon dog brings kon chalk,brings kon chalk,kon chalk is brought by kon dog,Tom affirms that kon dog brings kon chalk,kon dog brings kon no chalk,chalk kon brings dog kon,kon dog brings kon chalk,the dog wa the chalk o brings,犬は白亜をもたらす,the chalk wa the dog ni to bring reru,白亜は犬に持たれる,Tom wa the dog ga the chalk o brings to affirms,the dog wa no the chalk o brings,犬は白亜ないをもたらす,brings o chalk the wa dog the,もたらすを白亜は犬,the dog wa the chalk  o-ta  to bring,il cane porta gesso il,porta gesso il,Harry osserva che il cane porta gesso il,il gesso è portato cane dal,il cane porta il gesso no,gesso il porta il cane,il cane porta gesso il,the dog brings chalk the,Tom affirms that the dog brings chalk the,the chalk is brought by dog the,the dog brings the chalk doesn't,chalk the brings the dog,Tom affirms that does the dog brings chalk the?,Did the dog brings the chalk who?,kon dog brings chalk kon,brings chalk kon,kon chalk is brought by dog kon,Tom affirms that kon dog brings chalk kon,kon dog brings kon chalk no,chalk kon brings kon dog,kon dog brings chalk kon,the dog wa the chalk brings o,犬は白亜もたらすを,the chalk wa the dog ni to reru bring,白亜は犬持たれるに,Tom wa the dog ga the chalk o brings affirms to,the dog wa no the chalk o brings nai,犬は白亜をもたらすない,brings o chalk the wa the dog,もたらすを白亜犬は,the dog wa the chalk   to bring o-ta
il cane porta una scatola,porta una scatola,Gomu vede che il cane porta una scatola,una scatola è portato da una cane,il cane porta una no scatola,scatola una porta cane il,una cane porta una scatola,the dog carries a box,Gomu says that the dog carries the box,a box is carried by the dog,the dog carries a doesn't box,box a carries dog the,Gomu says that does the dog carries the box?,Did the dog carries a who box?,kon dog carries kar box,carries kar box,kar box is carried by kon dog,Gomu says that kon dog carries kar box,kon dog carries kar no box,box kar carries dog kon,kon dog carries kon box,the dog wa a box o carries,犬は箱を運ぶ,a box wa the dog ni to carry reru,箱は犬に運ばれる,Gomu wa the dog ga the box o carries to says,the dog wa no a box o carries,犬は箱ないを運ぶ,carries o box a wa dog the,運ぶを箱は犬,the dog wa a box  o-ta  to carry,il cane porta scatola una,porta scatola una,Gomu vede che il cane porta scatola una,una scatola è portato da cane una,il cane porta una scatola no,scatola una porta il cane,una cane porta scatola una,the dog carries box a,Gomu says that the dog carries box the,a box is carried by dog the,the dog carries a box doesn't,box a carries the dog,Gomu says that does the dog carries box the?,Did the dog carries a box who?,kon dog carries box kar,carries box kar,kar box is carried by dog kon,Gomu says that kon dog carries box kar,kon dog carries kar box no,box kar carries kon dog,kon dog carries box kon,the dog wa a box carries o,犬は箱運ぶを,a box wa the dog ni to reru carry,箱は犬運ばれるに,Gomu wa the dog ga the box o carries says to,the dog wa no a box o carries nai,犬は箱を運ぶない,carries o box a wa the dog,運ぶを箱犬は,the dog wa a box   to carry o-ta
il cane tiene la scatola,tiene la scatola,Harry afferma che il cane tiene la scatola,la scatola è tenuto dalla cane,il cane tiene la no scatola,scatola la tiene cane il,la cane tiene la scatola,the dog holds the box,Harry notices that the dog holds the box,the box is held by the dog,the dog holds the doesn't box,box the holds dog the,Harry notices that does the dog holds the box?,Did the dog holds the why box?,kon dog holds kar box,holds kar box,kar box is held by kon dog,Harry notices that kon dog holds kar box,kon dog holds kar no box,box kar holds dog kon,kon dog holds kon box,the dog wa the box o holds,犬は箱を持つ,the box wa the dog ni to hold reru,箱は犬に持たれる,Harry wa the dog ga the box o holds to notices,the dog wa no the box o holds,犬は箱ないを持つ,holds o box the wa dog the,持つを箱は犬,the dog wa the box  o-ta  to hold,il cane tiene scatola la,tiene scatola la,Harry afferma che il cane tiene scatola la,la scatola è tenuto cane dalla,il cane tiene la scatola no,scatola la tiene il cane,la cane tiene scatola la,the dog holds box the,Harry notices that the dog holds box the,the box is held by dog the,the dog holds the box doesn't,box the holds the dog,Harry notices that does the dog holds box the?,Did the dog holds the box why?,kon dog holds box kar,holds box kar,kar box is held by dog kon,Harry notices that kon dog holds box kar,kon dog holds kar box no,box kar holds kon dog,kon dog holds box kon,the dog wa the box holds o,犬は箱持つを,the box wa the dog ni to reru hold,箱は犬持たれるに,Harry wa the dog ga the box o holds notices to,the dog wa no the box o holds nai,犬は箱を持つない,holds o box the wa the dog,持つを箱犬は,the dog wa the box   to hold o-ta
il cane prende la scatola,prende la scatola,John afferma che il cane prende la scatola,la scatola è preso dalla cane,il cane prende la no scatola,scatola la prende cane il,la cane prende la scatola,the dog takes the box,Maria says that the dog takes the box,the box is taken by the dog,the dog takes the doesn't box,box the takes dog the,Maria says that does the dog takes the box?,Did the dog takes the when box?,kon dog takes kar box,takes kar box,kar box is taken by kon dog,Maria says that kon dog takes kar box,kon dog takes kar no box,box kar takes dog kon,kon dog takes kon box,the dog wa the box o takes,犬は箱をとる,the box wa the dog ni to take reru,箱は犬にとられる,Maria wa the dog ga the box o takes to says,the dog wa no the box o takes,犬は箱ないをとる,takes o box the wa dog the,とるを箱は犬,the dog wa the box  o-ta  to take,il cane prende scatola la,prende scatola la,John afferma che il cane prende scatola la,la scatola è preso cane dalla,il cane prende la scatola no,scatola la prende il cane,la cane prende scatola la,the dog takes box the,Maria says that the dog takes box the,the box is taken by dog the,the dog takes the box doesn't,box the takes the dog,Maria says that does the dog takes box the?,Did the dog takes the box when?,kon dog takes box kar,takes box kar,kar box is taken by dog kon,Maria says that kon dog takes box kar,kon dog takes kar box no,box kar takes kon dog,kon dog takes box kon,the dog wa the box takes o,犬は箱とるを,the box wa the dog ni to reru take,箱は犬とられるに,Maria wa the dog ga the box o takes says to,the dog wa no the box o takes nai,犬は箱をとるない,takes o box the wa the dog,とるを箱犬は,the dog wa the box   to take o-ta
un cane porta una scatola,porta una scatola,Maria osserva che un cane porta una scatola,una scatola è portato da una cane,un cane porta una no scatola,scatola una porta cane un,una cane porta una scatola,a dog brings a box,Sheela sees that the dog brings the box,a box is brought by a dog,a dog brings a doesn't box,box a brings dog a,Sheela sees that does the dog brings the box?,Did a dog brings a what box?,kon dog brings kar box,brings kar box,kar box is brought by kon dog,Sheela sees that kon dog brings kar box,kon dog brings kar no box,box kar brings dog kon,kon dog brings kon box,a dog wa a box o brings,犬は箱をもたらす,a box wa a dog ni to bring reru,箱は犬に持たれる,Sheela wa the dog ga the box o brings to sees,a dog wa no a box o brings,犬は箱ないをもたらす,brings o box a wa dog a,もたらすを箱は犬,a dog wa a box  o-ta  to bring,un cane porta scatola una,porta scatola una,Maria osserva che un cane porta scatola una,una scatola è portato da cane una,un cane porta una scatola no,scatola una porta un cane,una cane porta scatola una,a dog brings box a,Sheela sees that the dog brings box the,a box is brought by dog a,a dog brings a box doesn't,box a brings a dog,Sheela sees that does the dog brings box the?,Did a dog brings a box what?,kon dog brings box kar,brings box kar,kar box is brought by dog kon,Sheela sees that kon dog brings box kar,kon dog brings kar box no,box kar brings kon dog,kon dog brings box kon,a dog wa a box brings o,犬は箱もたらすを,a box wa a dog ni to reru bring,箱は犬持たれるに,Sheela wa the dog ga the box o brings sees to,a dog wa no a box o brings nai,犬は箱をもたらすない,brings o box a wa a dog,もたらすを箱犬は,a dog wa a box   to bring o-ta
